followers_per_followees,replies_to_tweets,tweets_with_url_to_total_tweets,number_of_replies,hastag_count_to_word_count_mean,hastag_count_to_word_count_median,hastag_count_to_word_count_min,hastag_count_to_word_count_max,url_count_to_word_count_mean,url_count_to_word_count_median,url_count_to_word_count_min,url_count_to_word_count_max,characters_per_tweet_mean,characters_per_tweet_median,characters_per_tweet_min,characters_per_tweet_max,time_between_posts_mean,time_between_posts_median,spammer
0.051282,0,0.444444,0,0.0948,0.16667,0,0.2,0.0722,0,0,0.2,57.3333,32,32,95,11.875,15,yes
0.080153,0,0.85,0,0,0,0,0,0.0922,0.11111,0,0.1667,64.8,62,5,94,27279.6842,129627,yes
3.572917,0.25245,0.402305,438,0.0088,0,0,1,0.038,0,0,0.5,85.702,30,5,576,6322.8414,726,yes
0.746444,0.008873,0.950311,10,0.0628,0.5,0,0.75,0.079,0.5,0,0.5,110.3709,49,21,157,1681.8464,4,yes
0,0,1,0,0.1667,0.16667,0.1667,0.1667,0.1667,0.16667,0.1667,0.1667,104,104,104,104,0,0,yes
1.028317,0.136064,0.539868,186,0.0183,0,0,0.5,0.0413,0.05,0,0.2,104.7096,138,11,158,21183.8799,2722,yes
0.740741,0.370192,0.346154,77,0.0157,0,0,1,0.0334,0,0,0.5,97.6538,56,7,147,151118.1981,74213,yes
0,0,1,0,0.1667,0.16667,0.1667,0.1667,0.1667,0.16667,0.1667,0.1667,105,105,105,105,0,0,yes
0.030303,0,0.282051,0,0.05,0.11111,0,0.25,0.0371,0.11111,0,0.1667,80.4872,63,16,263,2985.0263,5,yes
1.108893,0.412349,0.530873,581,0.0165,0,0,0.3333,0.05,0,0,0.6667,95.2782,58,7,179,16274.3459,567,yes
0.34375,0.390303,0.13697,322,0.0147,0,0,0.6667,0.0127,0,0,0.2857,89.1527,80,7,161,11954.96,84,yes
0.613782,0.191579,0.598947,182,0.0234,0,0,0.4444,0.057,0.125,0,1,106.5558,79,4,156,19153.2835,35720,yes
0.307849,0.109968,0.750791,139,0.0021,0,0,1,0.0614,0,0,1,111.0633,135,5,160,11206.8211,222,yes
3.2,0.567427,0.056017,547,0.0054,0,0,1,0.0089,0,0,1,62.2936,25,3,145,8486.649,64052,yes
1.285714,0.47389,0.044386,363,0.0013,0,0,0.25,0.0062,0,0,0.5,71.3695,29,11,149,22428.7059,10705,yes
2.560209,0.657433,0.131893,2587,0.0408,0,0,0.5,0.0166,0,0,0.5,85.463,29,11,166,3010.1182,2405,yes
0.294118,0.222222,0.079365,42,0.0011,0,0,0.1111,0.0099,0,0,0.3333,86.1799,122,23,154,34765.9415,101,yes
4.235294,0.369481,0.067532,569,0.0016,0,0,0.5,0.0112,0,0,0.5,66.9312,73,2,167,13308.3041,1530,yes
0.793651,0.249322,0.398374,92,0.0054,0,0,0.5,0.0518,0.05,0,0.5,80.439,134,9,153,14195.1168,15506,yes
0.732673,0.486375,0.246078,589,0.0434,0.14286,0,1,0.0332,0,0,1,77.6656,81,3,168,36015.9752,5,yes
0.923077,0.589862,0.082949,128,0.0107,0,0,0.1667,0.0084,0,0,0.1667,72.8203,61,10,155,48268.8704,58,yes
8.459184,0.527157,0.056709,660,0.0017,0,0,1,0.0049,0,0,0.2,89.7572,125,4,152,29177.2958,327,yes
40,0,0.979798,0,0.0519,0.06667,0,0.2353,0.0757,0.06667,0,0.2,422.0253,438,11,751,7605.8127,37,yes
0.565217,0.258621,0.013547,420,0.0012,0,0,0.2,0.0016,0,0,0.25,67.4156,78,2,155,5947.597,61,yes
0.078603,0,0.4,0,0.0045,0,0,0.0455,0.0182,0,0,0.0526,91.7,131,23,140,23290.2105,13727,yes
0.786632,0.293194,0.541885,112,0.0525,0,0,0.5,0.0402,0.08333,0,0.1818,107.1204,115,14,153,48262.315,24157,yes
0.762712,0.588957,0.441718,288,0.0034,0,0,0.5,0.0479,0,0,0.3333,85.5235,54,3,152,34340.9857,827,yes
0.984859,0.10183,0.842975,345,0.0166,0,0,0.5882,0.0664,0,0,0.5,108.8309,47,11,567,5067.3357,5996,yes
2.666667,0.329493,0.058372,429,0.0153,0,0,1,0.0101,0,0,1,53.606,44,2,157,13161.4804,7985,yes
0.83524,0.230352,0.560976,85,0.0507,0,0,0.6667,0.0445,0,0,0.2,104.6856,110,25,147,23682.1848,3415,yes
0.654281,0.236538,0.655769,123,0.0107,0,0,0.2857,0.0639,0.11111,0,0.25,86.0308,62,15,146,20723.2832,16890,yes
1.366667,0.112263,0.036269,65,0.012,0.0625,0,0.3333,0.003,0,0,0.25,65.6494,83,2,160,33852.6298,6745,yes
0,0,1,0,0.0528,0.11111,0,0.1111,0.1306,0.11111,0.1,0.2,73,78,57,85,987989.6667,65,yes
1.007891,0,0.833333,0,0.0128,0,0,0.0769,0.0557,0.05882,0,0.0769,104,123,17,141,844894,124,yes
0.745455,0.451083,0.145631,604,0.0009,0,0,0.5,0.0886,0.5,0,1,169.4279,116,3,944,9617.3834,199,yes
1.122093,0.328671,0.513695,1128,0.0184,0,0,0.5,0.0389,0,0,0.25,105.5181,25,13,163,6118.914,2944,yes
0,0,1,0,0.0659,0.25,0,0.25,0.1135,0.125,0.0909,0.2,78.5484,80,55,91,97962.6333,64,yes
1.556861,0.498353,0.113412,1059,0.0059,0,0,1,0.0155,0,0,1,55.5845,19,5,185,16283.2208,37201,yes
0.82381,0.047619,0.634921,6,0.0039,0,0,0.125,0.076,0.09091,0,0.3333,86.373,102,15,149,32257.24,8511,yes
1.03125,0.352423,0.110132,80,0.0133,0,0,1,0.0104,0,0,0.5,59.5242,66,9,140,52087.0398,112,yes
0.63125,0.565408,0.100088,644,0.0014,0,0,0.3333,0.0217,0,0,1,53.6383,79,3,141,22424.6142,894,yes
0.349398,0.151235,0.771605,49,0.0584,0,0,1,0.1489,0.33333,0,1,68.4105,34,2,144,21080.6904,43,yes
1.23913,0.122628,0.143066,84,0.005,0,0,0.3333,0.0197,0,0,0.3333,71.9022,75,10,150,55924.6871,130284,yes
1.186603,0.680882,0.102941,2315,0.0047,0,0,0.7143,0.0088,0,0,0.5,73.5191,131,9,201,1378.0438,34,yes
1.881944,0.307404,0.090284,984,0.0045,0,0,1,0.0153,0,0,1,91.7769,154,2,356,17483.9653,2980,yes
0.436364,0.272727,0.054545,15,0.0169,0,0,0.5,0.0126,0,0,0.5,56.7091,87,13,142,237346.7963,335,yes
0.763889,0.177778,0.4,16,0.006,0,0,0.25,0.0272,0.05,0,0.2,107.0889,128,26,144,146589.8652,62,yes
1.303797,0.270691,0.032132,556,0.0073,0,0,0.5,0.0044,0,0,1,80.0759,76,1,153,4282.7842,69,yes
0.602837,0.261307,0.158291,104,0.0118,0,0,0.3333,0.0192,0,0,0.5,74.2663,125,5,150,72702.8186,400,yes
0.210526,0,1,0,0,0,0,0,0.0951,0.11111,0.0833,0.1111,91.3333,84,83,107,29.248,42,yes
6.5,0.576471,0.070588,147,0.0028,0,0,0.5,0.0136,0,0,0.5,64.2784,79,11,147,18800.189,85,yes
0.924025,0.01897,0.493225,7,0.0017,0.22222,0,0.2222,0.0355,0.05556,0,0.1667,126.3171,126,12,148,24016.4864,7104,yes
14.459596,0.333333,0.279045,614,0.0265,0,0,0.4167,0.0161,0,0,0.2143,126.3512,136,13,164,23607.6334,2256,yes
0.648148,0.109091,0.163636,6,0.001,0,0,0.0526,0.0136,0,0,0.125,81.0727,81,1,140,295734.7407,151423,yes
6.105263,0.059459,0.875676,11,0.0079,0,0,0.3333,0.0881,0.03846,0,1,90.8432,132,22,146,89201,8914,yes
11.428571,0,1,0,0,0,0,0,0.058,0.05263,0.0417,0.25,131.26,135,41,160,5175.4606,6,yes
1.088542,0.085197,0.722045,80,0.018,0,0,0.5,0.0965,0,0,1,80.8573,74,12,281,14958.9009,2958,yes
0.228571,0.081081,0.560811,12,0.0175,0,0,0.75,0.0779,0,0,1,86.5541,59,19,144,110421.7075,16942,yes
0.872263,0.216314,0.218379,419,0.0077,0,0,1,0.0191,0.125,0,0.5,83.4904,57,1,146,21552.1369,5169,yes
0.780488,0.164706,0.044118,56,0.0113,0,0,0.6667,0.0103,0,0,0.5,71.8441,50,8,170,24225.0295,75209,yes
1.06383,0.105263,0.684211,2,0,0,0,0,0.0491,0,0,0.125,111.5789,112,36,140,283836.5,171461,yes
0.9375,0.389991,0.074913,1239,0.0048,0,0,1,0.0162,0,0,1,54.7838,16,2,150,10506.5579,19981,yes
0.12,0.051948,0.233766,4,0.0649,0,0,0.3333,0.0327,0,0,0.2,77.4675,28,21,170,3030.5395,15,yes
0.559809,0.40407,0.130814,139,0.003,0,0,0.1667,0.0194,0,0,0.2,95.5378,49,7,153,27932.3382,31358,yes
0.193694,0,0.301887,0,0,0,0,0,0.0362,0.06667,0,0.5,76.8491,81,13,140,37441.5577,5096,yes
0.873016,0.052632,0.438596,3,0.0253,0.25,0,0.3333,0.0651,0.25,0,1,84.2982,50,19,140,128139.3393,159393,yes
0.927407,0.428736,0.138161,1865,0.0215,0,0,0.8462,0.0147,0.1,0,1,81.4536,108,1,175,5438.2913,14,yes
0.774194,0.23764,0.207337,149,0.003,0,0,0.5,0.0284,0.07143,0,1,76.6475,86,3,142,41268.9968,801,yes
0.639535,0.340649,0.035305,357,0.0066,0,0,1,0.0059,0,0,1,83.2223,139,5,153,14520.851,2758,yes
1.015846,0.006024,0.851807,5,0.0023,0,0,0.25,0.0482,0.04348,0,0.2,117.0892,130,38,144,25661.4729,108,yes
1.1,0.142857,0.5,4,0.1228,0.15385,0,0.3333,0.0339,0.07692,0,0.0833,123.25,118,81,149,95522.2222,243,yes
0.241379,0.035714,0.785714,1,0.0823,0.125,0,0.5714,0.0881,0.125,0,0.2,79.6071,62,39,138,28252.1111,3371,yes
0,0,1,0,0.0659,0.11111,0,0.25,0.1116,0.11111,0.0909,0.1667,81.8387,83,69,112,88851.1667,67,yes
0.912281,0.002475,0.943069,1,0,0,0,0,0.1239,0.09091,0,1,74.4406,76,27,148,30660.1613,3221,yes
10.585366,0.122356,0.550927,376,0.025,0,0,1,0.0987,0,0,1,63.9801,23,2,185,19329.9694,77023,yes
0.717391,0.08046,0.229885,7,0.0035,0,0,0.125,0.0192,0,0,0.2,99.4138,89,19,141,166781.7791,36375,yes
0.605401,0.741916,0.077283,3648,0.0068,0,0,0.5,0.0054,0,0,0.2222,96.6195,140,8,218,1623.7036,82,yes
0.698718,0.047619,0.465608,27,0.0092,0,0,0.25,0.0503,0,0,1,80.1958,57,2,153,17621.8322,4723,yes
1.470588,0.159341,0.082418,58,0.0103,0,0,1,0.0066,0,0,0.2,89.9451,79,6,171,12257.5344,516,yes
0.151562,0.187192,0.197044,38,0.0056,0,0,0.2857,0.0282,0.08333,0,1,63.2118,79,5,147,56362.8861,14163,yes
1.013805,0.191235,0.029482,240,0.0143,0,0,0.3333,0.0025,0,0,0.3333,106.2096,131,5,180,6666.0287,719,yes
1.495726,0.121739,0.649275,42,0.0498,0,0,0.5,0.0547,0.0625,0,0.2,111.8087,130,22,185,25192.1366,5048,yes
0.872792,0.203125,0.171875,52,0.0172,0,0,0.75,0.0132,0,0,0.25,105.6484,144,23,174,55734.4,26599,yes
0.638889,0.410112,0.323034,146,0.0028,0,0,0.125,0.0428,0.06667,0,0.6667,95.3455,127,21,156,14077.7831,5632,yes
0,0,1,0,0.1667,0.16667,0.1667,0.1667,0.1667,0.16667,0.1667,0.1667,99,99,99,99,0,0,yes
0,0,1,0,0.0556,0,0,0.25,0.1159,0.125,0.0909,0.1667,78.5625,67,66,101,175646.2,65,yes
0.2,0,0.994536,0,0.1389,0,0,0.5,0.1103,0.14286,0,0.25,107.0492,65,55,146,9004.2198,65,yes
1.804878,0.084746,0.694915,5,0.0139,0,0,0.75,0.0689,0.07692,0,0.25,85.1864,89,30,156,217369.8793,71315,yes
0.336676,0.175758,0.460606,29,0.0562,1,0,1,0.0428,0,0,0.25,106.8364,119,21,173,13103.0305,16098,yes
0,0,1,0,0.1667,0.16667,0.1667,0.1667,0.1667,0.16667,0.1667,0.1667,104,104,104,104,0,0,yes
0.5,0.557823,0.086168,246,0.0001,0,0,0.0588,0.0115,0,0,0.5,85.9138,57,8,153,25897.9295,318,yes
0.7,0.239437,0.014085,34,0.0005,0,0,0.0714,0.0011,0,0,0.0833,75.9366,54,7,139,86874.5957,13614,yes
1.198222,0.240775,0.676653,659,0.0324,0,0,0.3333,0.0693,0.11111,0,0.5,82.9375,65,20,184,4576.8779,48,yes
0.451327,0.096692,0.038168,38,0.0019,0,0,0.1818,0.005,0,0,0.3333,55.9389,60,7,144,108210.8776,3544,yes
0.572993,0.210526,0.210526,16,0.0126,0,0,0.25,0.0221,0,0,0.1429,76.1579,129,13,147,123278.52,135501,yes
0.504326,0.156863,0.560784,40,0.0039,0,0,0.5,0.0733,0.09091,0,1,85.1843,94,23,144,98849.0394,2113,yes
2.118644,0.347087,0.319579,429,0.0556,0,0,0.9286,0.0345,0.07143,0,0.5,93.0769,100,16,163,29504.3587,347,yes
0.545842,0.363946,0.391156,214,0.0822,0,0,0.6667,0.0684,0,0,1,71.7415,26,10,154,13446.1738,121,yes
0.969303,0.417701,0.105873,1010,0.0021,0,0,0.2,0.014,0,0,0.5,92.5339,57,5,277,5092.2015,116,yes
0.922414,0.366401,0.038372,783,0.0028,0,0,0.25,0.0029,0,0,0.25,99.0557,82,3,180,11494.6189,218,yes
0.375,0,0.469903,0,0.0407,0,0,1,0.0461,0.05556,0,1,99.367,150,15,576,4498.9183,7124,yes
1.015385,0.105263,0.169173,28,0.0032,0,0,0.1667,0.0117,0,0,0.1538,97.4887,111,1,150,43822.4,17416,yes
0.948454,0.197848,0.128311,478,0.033,0.14286,0,1,0.0164,0,0,0.5,59.5526,49,2,165,5011.4994,627,yes
0,0,1,0,0,0,0,0,0.1105,0.125,0.0556,0.3333,80.9869,74,36,133,4558.7073,3,yes
0,0,1,0,0.025,0,0,0.125,0.0649,0.05882,0.0455,0.1,104.3529,122,70,143,494.74,498,yes
1.780488,0.003448,0.982759,1,0.0043,0,0,0.2,0.0754,0.05882,0,0.25,103.0552,115,26,151,23049.5502,20097,yes
0.744444,0.344946,0.149166,703,0.0178,0,0,1,0.0206,0.09091,0,1,76.2738,78,1,154,5406.0241,309,yes
0.838509,0.325691,0.190829,483,0.005,0,0,0.6,0.0236,0,0,0.5,82.9737,134,7,166,48671.4939,63,yes
0,0,0.928571,0,0.0399,0,0,0.125,0.1044,0.11111,0,0.125,73,77,26,89,65.9231,64,yes
0.964789,0.361004,0.098456,187,0,0,0,0,0.0359,0,0,1,54.3591,42,1,172,11207.3172,286,yes
0,0,1,0,0.0741,0.25,0,0.25,0.1222,0.125,0.1,0.1667,80,79,71,105,320761.625,65,yes
0.666667,0,0.1,0,0,0,0,0,0.0082,0.11111,0,0.1111,101.075,70,25,140,188367.3077,447635,yes
0.525031,0,1,0,0.073,0.08333,0,0.75,0.0847,0.08333,0.0345,0.5,111.0244,89,34,155,2032.1568,757,yes
0.754717,0.185539,0.005457,136,0.0005,0,0,0.0556,0.0003,0,0,0.0556,69.9523,44,3,142,8294.6735,29986,yes
0.683525,0.412957,0.088526,835,0.0081,0,0,0.5,0.0125,0,0,1,74.4946,43,3,160,8166.0099,85,yes
2.039326,0.627817,0.014913,3873,0.0089,0,0,1,0.006,0,0,1,53.6653,82,1,167,1526.1112,417,yes
0.285714,0.096774,0.064516,3,0.0027,0,0,0.0833,0.0081,0,0,0.1667,58.3548,48,17,144,103457.5,96058,yes
0.42623,0.336226,0.062907,155,0.0068,0,0,0.375,0.015,0.06667,0,1,57.4816,94,7,147,48994.4522,927,yes
0.252101,0.075758,0.030303,10,0.0005,0,0,0.0714,0.005,0,0,0.25,64.0303,13,10,138,138460.8244,60679,yes
1.655172,0.583413,0.125834,612,0.0018,0,0,0.5,0.0151,0,0,1,86.5977,84,1,157,19789.146,769,yes
1.552846,0.326773,0.129022,1046,0.0074,0,0,1,0.018,0,0,0.5,73.1059,103,1,188,5180.8188,26,yes
1.364583,0.484877,0.074669,513,0.0003,0,0,0.1111,0.0078,0,0,0.5,71.8327,48,3,156,22426.8789,5516,yes
1.788991,0.39831,0.219071,660,0.0206,0,0,1,0.0294,0,0,1,74.8902,139,11,151,4851.0543,445,yes
0.46875,0.427778,0.044444,77,0.0019,0,0,0.125,0.0043,0,0,0.3333,56.7444,140,6,148,53053.9944,55913,yes
0.746479,0.172862,0.122677,93,0.0093,0,0,0.6667,0.0208,0,0,1,59.3662,134,3,146,26579.9888,45955,yes
0,0,1,0,0.1667,0.16667,0.1667,0.1667,0.1667,0.16667,0.1667,0.1667,102,102,102,102,0,0,yes
0,0,1,0,0.0154,0.05263,0,0.0526,0.049,0.05263,0.0435,0.0526,127.8696,120,120,138,14393.8636,25,yes
0.8471,0.644086,0.073118,1797,0.003,0,0,1,0.0064,0,0,0.5,90.567,117,4,295,6266.6174,107,yes
0.147826,0,0.230769,0,0.0192,0,0,0.125,0.0227,0,0,0.125,68.6154,75,18,129,711299.5,860435,yes
0.916667,0.295082,0.054002,306,0.0066,0,0,1,0.0068,0,0,1,79.1572,67,5,150,15337.6255,1877,yes
0.391304,0,0.142857,0,0.0159,0,0,0.1111,0.0159,0,0,0.1111,56.5714,75,21,89,1363512.667,437663,yes
0.33871,0.69697,0.616162,69,0.0061,0,0,0.25,0.0941,0.09091,0,1,82.6667,99,5,144,136621.0306,11,yes
1.49505,0.379658,0.142857,489,0.0175,0,0,0.5,0.0148,0,0,1,97.2609,37,5,152,11104.5952,31597,yes
1.492611,0.453532,0.063941,610,0.0091,0,0,1,0.0092,0,0,1,63.0097,19,3,148,14343.6094,65330,yes
0,0,1,0,0.1667,0.16667,0.1667,0.1667,0.1667,0.16667,0.1667,0.1667,104,104,104,104,0,0,yes
0.061538,0.051546,0.309278,5,0.0975,0.14286,0,0.5,0.0459,0,0,0.2,67.8557,47,21,172,2431.6458,10,yes
1.012658,0.526083,0.039788,595,0.0039,0,0,0.8182,0.0045,0,0,0.3333,94.5146,137,13,156,23482.7982,1318,yes
1,0.165919,0.251121,37,0.0118,0,0,0.25,0.021,0,0,0.25,96.3094,83,21,325,259673.4369,76,yes
0.45,0.148594,0.947791,37,0.0674,0.05,0,0.1579,0.0508,0.05,0,0.2,130.0562,136,1,161,1364.6694,57,yes
0,0,1,0,0.1667,0.16667,0.1667,0.1667,0.1667,0.16667,0.1667,0.1667,105,105,105,105,0,0,yes
0.42963,0.325581,0.065116,280,0.0005,0,0,0.1429,0.0079,0,0,1,66.5988,55,5,215,16227.546,109,yes
0.86875,0.424951,0.327485,218,0.0115,0,0,0.3333,0.0306,0,0,0.3333,85.4464,110,5,157,54194.916,3919,yes
1.405797,0.249235,0.242355,326,0.0139,0,0,0.3333,0.0285,0,0,0.5,76.0933,107,4,165,22419.71,36181,yes
0.641711,0.788139,0.065641,1741,0.0024,0,0,0.5,0.013,0,0,1,71.5862,23,3,165,5751.0675,198,yes
0.713311,0.294872,0.897436,23,0,0,0,0,0.0926,0.07143,0,0.3333,83.9103,89,31,143,205300.7403,85,yes
0.96347,0.181373,0.246324,148,0.005,0.08333,0,0.2,0.026,0,0,0.5,76.5037,64,3,174,60100.7926,54525,yes
1.616034,0.116151,0.55189,169,0.0026,0,0,0.25,0.063,0.07143,0,0.3333,86.6612,84,6,176,7725.9959,46,yes
1.372549,0.57337,0.084239,211,0.0014,0,0,0.1,0.0063,0,0,0.1538,73.2609,35,5,144,35632.3624,19491,yes
0.943026,0.219303,0.619835,743,0.0078,0,0,0.2941,0.0549,0.07692,0,0.3333,91.2329,106,11,344,12393.7012,437,yes
0,0,1,0,0.05,0.125,0,0.125,0.1306,0.125,0.1111,0.1667,79,73,71,99,629723.75,63,yes
0.411765,0.405542,0.166247,322,0.0208,0.2,0,0.875,0.0192,0,0,0.3333,64.6599,38,2,176,19699.1122,23277,yes
0.938045,0.197699,0.444285,275,0.0169,0,0,0.5,0.0474,0,0,1,79.1589,46,11,152,8836.5561,1310,yes
0.036364,0.06422,0.275229,7,0.0764,0,0,0.4,0.04,0,0,0.2,70.2936,148,23,148,2189.4537,7,yes
